sexo,densidad_pollos_m2,tipoConstruccion,ganancia_promedio_gramos,sexo_encoded,tipo_encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan
HEMBRA,18.0,Black Out,61.65854978354977,0,0,4,1,3
HEMBRA,18.0,Black Out,62.13477442965349,0,0,4,1,3
HEMBRA,18.0,Black Out,60.22729335729717,0,0,4,1,3
HEMBRA,18.0,Black Out,60.609186954877536,0,0,4,1,3
HEMBRA,18.0,Black Out,63.26923774625403,0,0,4,1,3
HEMBRA,18.0,Black Out,63.04459644322846,0,0,4,1,3
HEMBRA,18.0,Black Out,63.9124487004104,0,0,4,1,3
HEMBRA,18.0,Black Out,62.25208672371253,0,0,4,1,3
HEMBRA,18.0,Black Out,62.60760875305881,0,0,4,1,3
HEMBRA,18.0,Black Out,62.591628041905935,0,0,4,1,3
HEMBRA,18.0,Black Out,61.58824322275201,0,0,4,1,3
HEMBRA,18.0,Black Out,64.1044465878711,0,0,4,1,3
HEMBRA,18.0,Black Out,64.2258454992297,0,0,4,1,3
HEMBRA,18.0,Black Out,64.69272329737447,0,0,4,1,3
HEMBRA,16.0,Black Out,69.02243932818247,0,0,4,1,3
HEMBRA,18.0,Black Out,65.28628834300052,0,0,4,1,3
HEMBRA,18.0,Black Out,59.69047619047619,0,0,4,1,3
HEMBRA,18.0,Black Out,59.29162255546379,0,0,4,1,3
HEMBRA,18.0,Black Out,64.91404693478145,0,0,4,1,3
HEMBRA,18.0,Black Out,62.54031980150253,0,0,4,1,3
HEMBRA,18.0,Black Out,61.95798458572622,0,0,4,1,3
HEMBRA,18.0,Black Out,65.8445115135256,0,0,4,1,3
HEMBRA,18.0,Black Out,64.30754851833525,0,0,4,1,3
HEMBRA,18.0,Black Out,63.88020926649228,0,0,4,1,3
HEMBRA,18.0,Black Out,59.98939646978183,0,0,4,1,3
HEMBRA,18.0,Black Out,61.953091145457165,0,0,4,1,3
HEMBRA,18.0,Black Out,63.61047312815801,0,0,4,1,3
HEMBRA,18.0,Black Out,62.62139795310876,0,0,4,1,3
HEMBRA,18.0,Black Out,61.72019195275009,0,0,4,1,3
HEMBRA,18.0,Black Out,62.49283226938821,0,0,4,1,3
HEMBRA,18.0,Black Out,62.95978169297828,0,0,4,1,3
HEMBRA,16.0,Black Out,69.67169035279636,0,0,4,1,3
HEMBRA,18.0,Black Out,61.56967645667285,0,0,4,1,3
HEMBRA,18.0,Black Out,57.34701868217921,0,0,4,1,3
HEMBRA,18.0,Black Out,62.16347956505437,0,0,4,1,3
HEMBRA,18.0,Black Out,64.59075332846469,0,0,4,1,3
HEMBRA,18.0,Black Out,63.90014527104518,0,0,4,1,3
HEMBRA,18.0,Black Out,62.56206923558896,0,0,4,1,3
HEMBRA,18.0,Black Out,63.04863680279002,0,0,4,1,3
HEMBRA,18.0,Black Out,60.842272653013886,0,0,4,1,3
HEMBRA,18.0,Black Out,64.70319486781872,0,0,4,1,3
HEMBRA,18.0,Black Out,62.41401567542646,0,0,4,1,3
HEMBRA,18.0,Black Out,63.49087799838269,0,0,4,1,3
HEMBRA,18.0,Black Out,64.19458145685896,0,0,4,1,3
HEMBRA,18.0,Black Out,63.622670383707806,0,0,4,1,3
HEMBRA,18.0,Black Out,63.19160534205505,0,0,4,1,3
HEMBRA,18.0,Black Out,64.1867521612183,0,0,4,1,3
HEMBRA,18.0,Black Out,61.69623308335488,0,0,4,1,3
HEMBRA,18.0,Black Out,62.23095051060487,0,0,4,1,3
HEMBRA,18.0,Black Out,63.96507834744404,0,0,4,1,3
HEMBRA,18.0,Black Out,60.82687338501291,0,0,4,1,3
HEMBRA,18.0,Black Out,62.06955767601502,0,0,4,1,3
HEMBRA,18.0,Black Out,62.67675616639874,0,0,4,1,3
HEMBRA,15.0,Tradicional,55.15330325118594,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.5196219191194,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.41181434599155,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.568318373703846,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.05677804944308,0,1,1,0,2
HEMBRA,15.0,Tradicional,60.84387177779309,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.62998661311914,0,1,1,0,2
HEMBRA,15.0,Tradicional,59.15405260332796,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.57703488372093,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.16465863453816,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.06395215090867,0,1,1,0,2
HEMBRA,15.0,Tradicional,54.19159682522061,0,1,1,0,2
HEMBRA,15.0,Tradicional,54.467102956643686,0,1,1,0,2
HEMBRA,15.0,Tradicional,55.334489149279605,0,1,1,0,2
HEMBRA,15.0,Tradicional,54.54684613354448,0,1,1,0,2
HEMBRA,15.0,Tradicional,56.41905622036577,0,1,1,0,2
HEMBRA,15.0,Tradicional,55.39423076923077,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.429412097549935,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.04481569875365,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.30034309844287,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.65213882163035,0,1,1,0,2
HEMBRA,15.0,Tradicional,58.475661375661375,0,1,1,0,2
HEMBRA,15.0,Tradicional,57.27635228848821,0,1,1,0,2
HEMBRA,15.0,Tradicional,55.34935897435897,0,1,1,0,2
HEMBRA,13.0,Tradicional,56.66666666666667,0,1,1,0,2
HEMBRA,13.0,Tradicional,59.32897266531223,0,1,1,0,2
HEMBRA,13.0,Tradicional,59.532940338148606,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.45066045066046,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.10890717685399,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.2280701754386,0,1,1,0,2
HEMBRA,12.5,Tradicional,63.89095195991747,0,1,1,0,2
HEMBRA,12.5,Tradicional,66.94294294294293,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.11013998670553,0,1,1,0,2
HEMBRA,12.5,Tradicional,64.37136867325547,0,1,1,0,2
HEMBRA,12.5,Tradicional,63.25805480277025,0,1,1,0,2
HEMBRA,12.5,Tradicional,63.72370766488413,0,1,1,0,2
HEMBRA,12.5,Tradicional,69.49859747545582,0,1,1,0,2
HEMBRA,12.5,Tradicional,64.12808197246237,0,1,1,0,2
HEMBRA,12.5,Tradicional,63.31687242798355,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.83676971923831,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.51644651644652,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.69496855345913,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.05437352245864,0,1,1,0,2
HEMBRA,14.5,Tradicional,59.11737089201877,0,1,1,0,2
HEMBRA,14.5,Tradicional,59.24104150554266,0,1,1,0,2
HEMBRA,12.5,Tradicional,62.20757020757021,0,1,1,0,2
HEMBRA,12.5,Tradicional,65.00696941321115,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.74875493731753,0,1,1,0,2
HEMBRA,14.5,Tradicional,66.83138678967514,0,1,1,0,2
HEMBRA,14.5,Tradicional,63.2815734989648,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.80047109628031,0,1,1,0,2
HEMBRA,14.5,Tradicional,61.53985507246377,0,1,1,0,2
HEMBRA,14.5,Tradicional,59.05674281503316,0,1,1,0,2
HEMBRA,14.5,Tradicional,60.42241912219245,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.75263246804437,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.83670977410224,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.08859357696567,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.52421340629275,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.5679080868069,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.2698504027618,0,1,1,0,2
HEMBRA,14.5,Tradicional,58.36853936939206,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.80030469940231,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.78063172509545,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.37324145851278,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.94838343732274,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.670961114990064,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.41528521467665,0,1,1,0,2
HEMBRA,14.5,Tradicional,57.94183189532027,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.84456873712097,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.06636128729151,0,1,1,0,2
HEMBRA,14.5,Tradicional,54.59573442583444,0,1,1,0,2
HEMBRA,14.5,Tradicional,56.434198067276,0,1,1,0,2
HEMBRA,14.5,Tradicional,55.90911794444775,0,1,1,0,2
