nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
bosque viejo,224,27,HEMBRA,Black Out,18.0,1,0,0,59.69047619047619
bosque viejo,224,28,HEMBRA,Black Out,18.0,1,0,0,59.29162255546379
bosque viejo,224,29,HEMBRA,Black Out,18.0,1,0,0,64.91404693478145
bosque viejo,224,30,HEMBRA,Black Out,18.0,1,0,0,62.54031980150253
bosque viejo,224,31,HEMBRA,Black Out,18.0,1,0,0,61.95798458572622
bosque viejo,224,32,HEMBRA,Black Out,18.0,1,0,0,65.8445115135256
bosque viejo,225,1,HEMBRA,Black Out,18.0,1,0,0,64.30754851833525
bosque viejo,225,2,HEMBRA,Black Out,18.0,1,0,0,63.88020926649228
bosque viejo,225,3,HEMBRA,Black Out,18.0,1,0,0,59.98939646978183
bosque viejo,225,4,HEMBRA,Black Out,18.0,1,0,0,61.953091145457165
bosque viejo,225,5,HEMBRA,Black Out,18.0,1,0,0,63.61047312815801
bosque viejo,225,6,HEMBRA,Black Out,18.0,1,0,0,62.62139795310876
bosque viejo,225,7,HEMBRA,Black Out,18.0,1,0,0,61.72019195275009
bosque viejo,225,8,HEMBRA,Black Out,18.0,1,0,0,62.49283226938821
bosque viejo,225,9,HEMBRA,Black Out,18.0,1,0,0,62.95978169297828
bosque viejo,225,10,HEMBRA,Black Out,16.0,1,0,0,69.67169035279636
bosque viejo,225,11,HEMBRA,Black Out,18.0,1,0,0,61.56967645667285
bosque viejo,225,12,HEMBRA,Black Out,18.0,1,0,0,57.34701868217921
bosque viejo,225,13,HEMBRA,Black Out,18.0,1,0,0,62.16347956505437
bosque viejo,225,14,HEMBRA,Black Out,18.0,1,0,0,64.59075332846469
bosque viejo,225,15,HEMBRA,Black Out,18.0,1,0,0,63.90014527104518
bosque viejo,225,16,HEMBRA,Black Out,18.0,1,0,0,62.56206923558896
bosque viejo,225,17,HEMBRA,Black Out,18.0,1,0,0,63.04863680279002
bosque viejo,225,18,HEMBRA,Black Out,18.0,1,0,0,60.842272653013886
bosque viejo,225,19,HEMBRA,Black Out,18.0,1,0,0,64.70319486781872
bosque viejo,225,20,HEMBRA,Black Out,18.0,1,0,0,62.41401567542646
bosque viejo,225,21,HEMBRA,Black Out,18.0,1,0,0,63.49087799838269
bosque viejo,225,22,HEMBRA,Black Out,18.0,1,0,0,64.19458145685896
bosque viejo,225,23,HEMBRA,Black Out,18.0,1,0,0,63.622670383707806
bosque viejo,225,24,HEMBRA,Black Out,18.0,1,0,0,63.19160534205505
bosque viejo,225,26,HEMBRA,Black Out,18.0,1,0,0,64.1867521612183
bosque viejo,225,27,HEMBRA,Black Out,18.0,1,0,0,61.69623308335488
bosque viejo,225,28,HEMBRA,Black Out,18.0,1,0,0,62.23095051060487
bosque viejo,225,29,HEMBRA,Black Out,18.0,1,0,0,63.96507834744404
bosque viejo,225,30,HEMBRA,Black Out,18.0,1,0,0,60.82687338501291
