nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
LA SOYA,la soya,233,8,12500,2025-10-14,2025-10-14,47.56,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,9,12500,2025-10-14,2025-10-14,37.0,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,10,12500,2025-10-14,2025-10-14,49.584,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,11,12500,2025-10-14,2025-10-14,39.296,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,12,12500,2025-10-14,2025-10-14,43.472,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LOICA,loica,164,1,30000,2025-10-14,2025-10-14,48.75,MACHO,10,2025,37,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,2,30000,2025-10-15,2025-10-15,43.73,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,3,30000,2025-10-15,2025-10-15,44.86666666666667,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,4,30000,2025-10-15,2025-10-15,45.615,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,5,30000,2025-10-15,2025-10-15,48.38333333333333,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
LOICA,loica,164,6,30000,2025-10-15,2025-10-15,42.28666666666667,MACHO,10,2025,36,30,36.2,30,3.2903878785643146,Tradicional,12.5,loica,COSTA,74.26784708378752
