nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita
EL VALLE,el valle,231,12,14500,2025-10-15,2025-10-15,42.762068965517244,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,13,14500,2025-10-15,2025-10-15,43.796551724137935,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,14,14500,2025-10-15,2025-10-15,44.43103448275862,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,15,14500,2025-10-15,2025-10-15,45.293103448275865,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,16,14500,2025-10-15,2025-10-15,46.175862068965515,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,17,14500,2025-10-15,2025-10-15,48.210344827586205,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,18,14500,2025-10-15,2025-10-15,48.5,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,19,14500,2025-10-15,2025-10-15,40.0,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,20,14500,2025-10-15,2025-10-15,41.97241379310345,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,21,14500,2025-10-15,2025-10-15,44.4551724137931,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,22,14500,2025-10-15,2025-10-15,48.724137931034484,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,23,17400,2025-10-15,2025-10-15,50.367816091954026,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,24,17400,2025-10-15,2025-10-15,48.85632183908046,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,25,17400,2025-10-15,2025-10-16,45.19252873563219,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,26,17400,2025-10-15,2025-10-15,49.94252873563219,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,27,17400,2025-10-15,2025-10-16,49.85632183908046,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,28,14500,2025-10-16,2025-10-16,43.01724137931034,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,29,14500,2025-10-16,2025-10-16,41.87931034482759,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,30,14500,2025-10-16,2025-10-16,43.5,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,31,14500,2025-10-16,2025-10-16,48.80344827586207,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,32,14500,2025-10-16,2025-10-16,36.0,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,33,14500,2025-10-16,2025-10-16,37.779310344827586,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,34,14500,2025-10-16,2025-10-16,36.56551724137931,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,35,14500,2025-10-16,2025-10-16,41.186206896551724,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,36,14500,2025-10-16,2025-10-16,42.04137931034483,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,37,17400,2025-10-16,2025-10-16,45.0,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,38,17400,2025-10-16,2025-10-16,43.68390804597701,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,39,17400,2025-10-16,2025-10-16,40.833333333333336,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,40,14500,2025-10-16,2025-10-16,49.255172413793105,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,41,14500,2025-10-15,2025-10-16,44.90344827586207,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,42,14500,2025-10-15,2025-10-15,50.91724137931035,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,43,14500,2025-10-15,2025-10-16,50.07241379310345,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,44,14500,2025-10-15,2025-10-15,49.58965517241379,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,45,14500,2025-10-14,2025-10-15,44.60689655172414,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,46,14500,2025-10-14,2025-10-14,51.61379310344827,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
